"","Condition","Sample","Kp_strain_ref","CFU_per_mL_strain","CFU_per_g_strain","LOD","Tissue","Barrier","Genotype","Log_CI","log_CFU_per_g_strain","log_CFU_per_mL_strain","mean_log_CFU_per_g_strain","mean_log_CFU_per_mL_strain"
"51","KPPR1_dbdb","blood_M595","JV432",400,NA,"No","blood","MP16","dbdb",-2.33474088800893,NA,2.60205999132796,NA,3.53896268585932
"52","KPPR1_dbdb","blood_M596","JV432",44000,NA,"No","blood","MP16","dbdb",0.656041803794208,NA,4.64345267648619,NA,3.53896268585932
"53","KPPR1_dbdb","blood_M597","JV432",480000,NA,"No","blood","MP16","dbdb",-0.119082991959248,NA,5.68124123737559,NA,3.53896268585932
"54","KPPR1_dbdb","blood_M598","JV432",26000,NA,"No","blood","MP16","dbdb",-0.651618770768786,NA,4.41497334797082,NA,3.53896268585932
"55","KPPR1_het","blood_M599","JV432",42000,NA,"No","blood","MP16","het",-0.341885187582927,NA,4.6232492903979,NA,3.73004786794145
"56","KPPR1_het","blood_M600","JV432",1600,NA,"No","blood","MP16","het",0.519916024882201,NA,3.20411998265592,NA,3.73004786794145
"57","KPPR1_het","blood_M602","JV432",28000,NA,"No","blood","MP16","het",0.0618071499782022,NA,4.44715803134222,NA,3.73004786794145
"58","KPPR1_het","blood_M603","JV432",160000,NA,"No","blood","MP16","het",-0.0843208857000358,NA,5.20411998265593,NA,3.73004786794145
"59","KPPR1_dbdb","lung_M614","JV1",20600000,87029995.775243,"No","lung","MP16","dbdb",NA,7.93966896244007,7.31386722036915,7.94818814182861,7.29548507627507
"60","KPPR1_dbdb","lung_M615","JV1",2.2e+07,179445350.734094,"No","lung","MP16","dbdb",NA,8.25393221063981,7.34242268082221,7.94818814182861,7.29548507627507
"61","KPPR1_dbdb","lung_M616","JV1",3060000,8944752.99619993,"No","lung","MP16","dbdb",NA,6.95156835229652,6.48572142648158,7.94818814182861,7.29548507627507
"62","KPPR1_dbdb","lung_M617","JV1",2.76e+08,1021087680.35516,"No","lung","MP16","dbdb",NA,9.00906303636649,8.44090908206522,7.94818814182861,7.29548507627507
"63","KPPR1_het","lung_M619","JV1",6220000,24979919.6787149,"No","lung","MP16","het",NA,7.39759103759508,6.79379038469082,7.12552071558165,6.50150665715095
"64","KPPR1_het","lung_M620","JV1",4420000,12596181.2482188,"No","lung","MP16","het",NA,7.10023890113369,6.64542226934909,7.12552071558165,6.50150665715095
"65","KPPR1_het","lung_M621","JV1",3760000,11000585.1375073,"No","lung","MP16","het",NA,7.04141578654294,6.57518784492766,7.12552071558165,6.50150665715095
"66","KPPR1_het","lung_M622","JV1",3960000,12184615.3846154,"No","lung","MP16","het",NA,7.08581182494664,6.59769518592551,7.12552071558165,6.50150665715095
"67","KPPR1_het","lung_M623","JV1",1540000,5054151.62454874,"No","lung","MP16","het",NA,6.70364826661379,6.18752072083646,7.12552071558165,6.50150665715095
"68","KPPR1_c57","lung_M624","JV1",4386000,15470899.4708995,"No","lung",NA,"c57",NA,7.18951556411258,6.6420686273415,7.21306721284777,6.62418921398475
"69","KPPR1_c57","lung_M625","JV1",3728000,14382716.0493827,"No","lung",NA,"c57",NA,7.15784090648339,6.57147590368194,7.21306721284777,6.62418921398475
"70","KPPR1_c57","lung_M626","JV1",3994000,13304463.6908728,"No","lung",NA,"c57",NA,7.12399737262743,6.60140806053468,7.21306721284777,6.62418921398475
"71","KPPR1_c57","lung_M627","JV1",6784000,23963263.8643589,"No","lung",NA,"c57",NA,7.37954596988356,6.83148583924866,7.21306721284777,6.62418921398475
"72","KPPR1_c57","lung_M628","JV1",2982000,16384615.3846154,"No","lung",NA,"c57",NA,7.2144362511319,6.47450763911698,7.21306721284777,6.62418921398475
"73","KPPR1_dbdb","liver_M614","JV1",400,661.04776070071,"No","liver","MP16","dbdb",NA,2.82023283839553,2.60205999132796,3.92752188750424,3.67177438893766
"74","KPPR1_dbdb","liver_M615","JV1",25800,43303.1218529708,"No","liver","MP16","dbdb",NA,4.63651920708421,4.41161970596323,3.92752188750424,3.67177438893766
"75","KPPR1_dbdb","liver_M616","JV1",800,1403.0164854437,"No","liver","MP16","dbdb",NA,3.1470627740185,2.90308998699194,3.92752188750424,3.67177438893766
"76","KPPR1_dbdb","liver_M617","JV1",35600,50028.1056773468,"No","liver","MP16","dbdb",NA,4.69921405856099,4.55144999797287,3.92752188750424,3.67177438893766
"77","KPPR1_het","liver_M619","JV1",1800,3379.01257743571,"No","liver","MP16","het",NA,3.52878980831848,3.25527250510331,3.1980923109898,3.01340331254578
